date,mine_id,planned_production_t,p10_t,p50_t,p90_t,expected_production_t,shortfall_t,shortfall_probability
2025-12-02,DEMO-01,2410.5,2216.2857144926365,2310.560994848187,2375.80134929009,2310.560994848187,99.93900515181303,0.9
2025-12-03,DEMO-01,2404.1,2191.745303684283,2263.430582443078,2359.571240203275,2263.430582443078,140.66941755692187,0.9
2025-12-04,DEMO-01,2389.0,2225.139138535832,2318.915852037548,2371.864727644666,2318.915852037548,70.08414796245188,0.9
2025-12-05,DEMO-01,2486.8,2270.925888175148,2305.830957035184,2396.3403587802677,2305.830957035184,180.96904296481625,0.9
2025-12-06,DEMO-01,2502.7,2301.253741690942,2329.080309231613,2399.791203582917,2329.080309231613,173.61969076838704,0.9
2025-12-07,DEMO-01,2452.4,2265.6291311624823,2284.067014815579,2395.7468055261943,2284.067014815579,168.33298518442098,0.9
2025-12-08,DEMO-01,2423.3,2228.6767102605622,2299.0774406523806,2382.523200043093,2299.0774406523806,124.22255934761961,0.9
2025-12-09,DEMO-01,2475.6,2255.8518988827177,2255.8518988827177,2380.8746425236573,2255.8518988827177,219.7481011172822,0.9
2025-12-10,DEMO-01,2408.4,2199.13928551613,2304.559705902928,2357.789531647406,2304.559705902928,103.84029409707227,0.9
2025-12-11,DEMO-01,2389.1,2230.0743295056177,2284.543513743925,2361.084057184292,2284.543513743925,104.556486256075,0.9
2025-12-12,DEMO-01,2367.7,2222.494270764249,2258.258216040275,2365.039235012646,2258.258216040275,109.44178395972494,0.9
2025-12-13,DEMO-01,2356.8,2155.4842339110432,2236.7346135397775,2364.928973334007,2236.7346135397775,120.06538646022273,0.8746354698174128
2025-12-14,DEMO-01,2450.8,2247.438888974323,2335.8172797296734,2393.3684401083665,2335.8172797296734,114.98272027032681,0.9
2025-12-15,DEMO-01,2317.2,2126.4314291112155,2181.620005094807,2329.669133510276,2181.620005094807,135.57999490519296,0.8663108197677161
2025-12-16,DEMO-01,2367.2,2219.9022845980985,2290.30883847378,2354.9431553941754,2290.30883847378,76.89116152622,0.9
2025-12-17,DEMO-01,2380.4,2249.1260519600687,2320.0637044810755,2377.5004393636414,2320.0637044810755,60.336295518924544,0.9
2025-12-18,DEMO-01,2322.5,2166.149145146521,2266.161152721617,2341.85533767223,2266.161152721617,56.33884727838313,0.7977182280030951
2025-12-19,DEMO-01,2378.4,2214.738603341763,2288.7657484971414,2349.2968606899362,2288.7657484971414,89.63425150285866,0.9
2025-12-20,DEMO-01,2405.1,2189.46314803763,2313.339720225127,2366.683370851257,2313.339720225127,91.76027977487274,0.9
2025-12-21,DEMO-01,2456.4,2280.563039206841,2353.4191122593124,2414.7857719858903,2353.4191122593124,102.98088774068765,0.9
2025-12-22,DEMO-01,2372.1,2173.7550477590125,2264.5128320890503,2359.817942062457,2264.5128320890503,107.58716791094957,0.9
2025-12-23,DEMO-01,2405.5,2156.68057028584,2228.8407716589445,2359.749427194036,2228.8407716589445,176.6592283410555,0.9
2025-12-24,DEMO-01,2317.7,2138.7813598602243,2246.3919150838706,2336.514334950001,2246.3919150838706,71.30808491612925,0.8164943162015224
2025-12-25,DEMO-01,2333.0,2124.18300426164,2218.0273504840643,2338.191621625073,2218.0273504840643,114.9726495159357,0.882718248835292
2025-12-26,DEMO-01,2295.2,2164.0633254448867,2256.2915138113003,2345.7362017977857,2256.2915138113003,38.9084861886995,0.6740002078584156
2025-12-27,DEMO-01,2453.8,2246.732981689656,2357.424133371262,2403.512525140663,2357.424133371262,96.3758666287381,0.9
2025-12-28,DEMO-01,2381.9,2147.9623643805617,2228.094379197138,2351.672811883167,2228.094379197138,153.805620802862,0.9
2025-12-29,DEMO-01,2412.1,2224.5741436472576,2328.872519302122,2367.527798722261,2328.872519302122,83.22748069787804,0.9
2025-12-30,DEMO-01,2428.8,2240.29568238984,2342.0434699815114,2372.0387274678906,2342.0434699815114,86.75653001848877,0.9
2025-12-31,DEMO-01,2444.4,2248.6226240524675,2322.474429127017,2399.521129439807,2322.474429127017,121.92557087298292,0.9
